filesystem,cloud,test-name,elapsed
storage-acct-azure-files,AZURE,"Write CSV, 100MB over 10 files",1.078
storage-acct-azure-files,AZURE,"Read CSV, 100MB over 10 files",4.875
storage-acct-azure-files,AZURE,"Write CSV, 100MB over 100 files",4.641
storage-acct-azure-files,AZURE,"Read CSV, 100MB over 100 files",5.069
storage-acct-azure-files,AZURE,"Write CSV, 100MB over 1000 files",16.831
storage-acct-azure-files,AZURE,"Read CSV, 100MB over 1000 files",24.208
storage-acct-azure-files,AZURE,"Write CSV, 100MB over 10000 files",137.116
storage-acct-azure-files,AZURE,"Read CSV, 100MB over 10000 files",186.912
storage-acct-azure-files,AZURE,"DD write, 10MB over 1000 files, 2 Parallel Ops",15.442
storage-acct-azure-files,AZURE,"DD write, 10MB over 1000 files, 4 Parallel Ops",18.445
storage-acct-azure-files,AZURE,"DD write, 10MB over 1000 files, 8 Parallel Ops",45.28
storage-acct-azure-files,AZURE,"DD write, 10MB over 1000 files, 16 Parallel Ops",86.792
storage-acct-azure-files,AZURE,"DD read, 10MB over 1000 files, 2 Parallel Ops",12.529
storage-acct-azure-files,AZURE,"DD read, 10MB over 1000 files, 4 Parallel Ops",12.11
storage-acct-azure-files,AZURE,"DD read, 10MB over 1000 files, 8 Parallel Ops",12.161
storage-acct-azure-files,AZURE,"DD read, 10MB over 1000 files, 16 Parallel Ops",14.974
storage-acct-azure-files,AZURE,"FST random reads, 100MB over 10*10MB reads",1.196
storage-acct-azure-files,AZURE,"FST random reads, 100MB over 100*1MB reads",3.066
storage-acct-azure-files,AZURE,"FST random reads, 100MB over 1000*100KB reads",10.416
storage-acct-azure-files,AZURE,"FST random reads, 100MB over 10000*10KB reads",72.371
storage-acct-azure-files,AZURE,Read 14 days of CRAN logs with fread,36.274
storage-acct-azure-files,AZURE,Sample 5000 rows from each of 14 CRAN logs with vroom,18.634
netapp-ultra,AZURE,Install MASS,9.207
netapp-ultra,AZURE,Install lattice,9.853
netapp-ultra,AZURE,Install BH,47.184
netapp-ultra,AZURE,"Write CSV, 10KB",0.006
netapp-ultra,AZURE,"Write CSV, 1MB",0.01
netapp-ultra,AZURE,"Write CSV, 100MB",0.229
netapp-ultra,AZURE,"Write CSV, 1GB",5.124
netapp-ultra,AZURE,"Read CSV, 10KB",0.006
netapp-ultra,AZURE,"Read CSV, 1MB",0.01
netapp-ultra,AZURE,"Read CSV, 100MB",0.173
netapp-ultra,AZURE,"Read CSV, 1GB",4.09
netapp-ultra,AZURE,"DD write, 1GB, 2 Parallel Ops",7.846
netapp-ultra,AZURE,"DD write, 1GB, 4 Parallel Ops",15.793
netapp-ultra,AZURE,"DD write, 1GB, 8 Parallel Ops",31.692
netapp-ultra,AZURE,"DD write, 1GB, 16 Parallel Ops",63.51
netapp-ultra,AZURE,"DD read, 1GB, 2 Parallel Ops",7.514
netapp-ultra,AZURE,"DD read, 1GB, 4 Parallel Ops",15.92
netapp-ultra,AZURE,"DD read, 1GB, 8 Parallel Ops",31.911
netapp-ultra,AZURE,"DD read, 1GB, 16 Parallel Ops",63.904
netapp-ultra,AZURE,"Write CSV, 100MB over 10 files",0.576
netapp-ultra,AZURE,"Read CSV, 100MB over 10 files",0.813
netapp-ultra,AZURE,"Write CSV, 100MB over 100 files",1.044
netapp-ultra,AZURE,"Read CSV, 100MB over 100 files",0.759
netapp-ultra,AZURE,"Write CSV, 100MB over 1000 files",2.259
netapp-ultra,AZURE,"Read CSV, 100MB over 1000 files",3.234
netapp-ultra,AZURE,"Write CSV, 100MB over 10000 files",13.915
netapp-ultra,AZURE,"Read CSV, 100MB over 10000 files",23.24
netapp-ultra,AZURE,"DD write, 10MB over 1000 files, 2 Parallel Ops",3.428
netapp-ultra,AZURE,"DD write, 10MB over 1000 files, 4 Parallel Ops",3.791
netapp-ultra,AZURE,"DD write, 10MB over 1000 files, 8 Parallel Ops",5.945
netapp-ultra,AZURE,"DD write, 10MB over 1000 files, 16 Parallel Ops",11.484
netapp-ultra,AZURE,"DD read, 10MB over 1000 files, 2 Parallel Ops",2.991
netapp-ultra,AZURE,"DD read, 10MB over 1000 files, 4 Parallel Ops",3.345
netapp-ultra,AZURE,"DD read, 10MB over 1000 files, 8 Parallel Ops",4.328
netapp-ultra,AZURE,"DD read, 10MB over 1000 files, 16 Parallel Ops",7.127
netapp-ultra,AZURE,"FST random reads, 100MB over 10*10MB reads",0.3
netapp-ultra,AZURE,"FST random reads, 100MB over 100*1MB reads",0.909
netapp-ultra,AZURE,"FST random reads, 100MB over 1000*100KB reads",1.394
netapp-ultra,AZURE,"FST random reads, 100MB over 10000*10KB reads",8.22
netapp-ultra,AZURE,Read 14 days of CRAN logs with fread,32.876
netapp-ultra,AZURE,Sample 5000 rows from each of 14 CRAN logs with vroom,15.888
