elastic-san-same-zone,1,task,user,system,elapsed,parallelism
managed-disk-local-storage-premium-ssd-lrs,1,"Write CSV, 1MB",0.00600000000000023,0,0.00600000000000023,NA
managed-disk-local-storage-premium-ssd-lrs,1,"Write CSV, 100MB",0.563,0.035,0.151999999999994,NA
managed-disk-local-storage-premium-ssd-lrs,1,"Write CSV, 1GB",5.291,0.311,1.407,NA
managed-disk-local-storage-premium-ssd-lrs,1,"Read CSV, 10KB",0.00200000000000067,0,0.00300000000000011,NA
managed-disk-local-storage-premium-ssd-lrs,1,"Read CSV, 1MB",0.00200000000000067,0.00099999999999989,0.00300000000000011,NA
managed-disk-local-storage-premium-ssd-lrs,1,"Read CSV, 100MB",0.151999999999999,0.0250000000000001,0.0839999999999961,NA
managed-disk-local-storage-premium-ssd-lrs,1,"Read CSV, 1GB",1.562,0.244,1.123,NA
managed-disk-local-storage-premium-ssd-lrs,1,"DD write, 1GB",0.00600000000000023,0.534999999999999,12.124,2
managed-disk-local-storage-premium-ssd-lrs,1,"DD write, 1GB",0.0129999999999981,1.692,26.389,4
managed-disk-local-storage-premium-ssd-lrs,1,"DD write, 1GB",0.0230000000000015,4.166,53.004,8
managed-disk-local-storage-premium-ssd-lrs,1,"DD write, 1GB",0.083000000000002,9.935,102.089,16
managed-disk-local-storage-premium-ssd-lrs,1,"DD read, 1GB",0.00200000000000244,0.340999999999999,2.33399999999995,2
managed-disk-local-storage-premium-ssd-lrs,1,"DD read, 1GB",0.00600000000000023,1.23,5.16300000000001,4
managed-disk-local-storage-premium-ssd-lrs,1,"DD read, 1GB",0.0240000000000009,4.035,10.356,8
managed-disk-local-storage-premium-ssd-lrs,1,"DD read, 1GB",0.0350000000000001,8.777,20.817,16
managed-disk-local-storage-premium-ssd-lrs,1,"Write CSV, 100MB over 10 files",0.868,0.0660000000000001,0.274000000000001,NA
managed-disk-local-storage-premium-ssd-lrs,1,"Read CSV, 100MB over 10 files",0.264000000000001,0.0190000000000001,0.0929999999999609,NA
managed-disk-local-storage-premium-ssd-lrs,1,"Write CSV, 100MB over 100 files",0.651,0.042,0.697000000000003,NA
managed-disk-local-storage-premium-ssd-lrs,1,"Read CSV, 100MB over 100 files",0.215,0.024,0.283000000000015,NA
managed-disk-local-storage-premium-ssd-lrs,1,"Write CSV, 100MB over 1000 files",0.690999999999999,0.0600000000000001,0.757000000000005,NA
managed-disk-local-storage-premium-ssd-lrs,1,"Read CSV, 100MB over 1000 files",0.479000000000001,0.0859999999999999,0.716999999999985,NA
managed-disk-local-storage-premium-ssd-lrs,1,"Write CSV, 100MB over 10000 files",1.678,0.304,1.99700000000001,NA
managed-disk-local-storage-premium-ssd-lrs,1,"Read CSV, 100MB over 10000 files",3.241,0.573,4.53300000000002,NA
managed-disk-local-storage-premium-ssd-lrs,1,"DD write, 10MB over 1000 files",0.00100000000000122,0.00499999999999989,2.221,2
managed-disk-local-storage-premium-ssd-lrs,1,"DD write, 10MB over 1000 files",2.614,3.854,2.911,4
managed-disk-local-storage-premium-ssd-lrs,1,"DD write, 10MB over 1000 files",4.511,6.502,5.39500000000004,8
managed-disk-local-storage-premium-ssd-lrs,1,"DD write, 10MB over 1000 files",13.946,19.806,10.991,16
managed-disk-local-storage-premium-ssd-lrs,1,"DD read, 10MB over 1000 files",0.893999999999998,1.035,2.04599999999999,2
managed-disk-local-storage-premium-ssd-lrs,1,"DD read, 10MB over 1000 files",1.72800000000001,2.49600000000001,2.29399999999998,4
