filesystem,cloud,test-name,elapsed
gfs-ent-ssd,GCP,"DD read, 1GB, 16 Parallel Ops",14.564
gfs-ent-ssd,GCP,"Write CSV, 100MB over 10 files",1.263
gfs-ent-ssd,GCP,"Read CSV, 100MB over 10 files",2.545
gfs-ent-ssd,GCP,"Write CSV, 100MB over 100 files",2.904
gfs-ent-ssd,GCP,"Read CSV, 100MB over 100 files",2.597
gfs-ent-ssd,GCP,"Write CSV, 100MB over 1000 files",9.832
gfs-ent-ssd,GCP,"Read CSV, 100MB over 1000 files",9.236
gfs-ent-ssd,GCP,"Write CSV, 100MB over 10000 files",68.782
gfs-ent-ssd,GCP,"Read CSV, 100MB over 10000 files",44.793
gfs-ent-ssd,GCP,"DD write, 10MB over 1000 files, 2 Parallel Ops",8.379
gfs-ent-ssd,GCP,"DD write, 10MB over 1000 files, 4 Parallel Ops",10.716
gfs-ent-ssd,GCP,"DD write, 10MB over 1000 files, 8 Parallel Ops",15.831
gfs-ent-ssd,GCP,"DD write, 10MB over 1000 files, 16 Parallel Ops",31.661
gfs-ent-ssd,GCP,"DD read, 10MB over 1000 files, 2 Parallel Ops",4.288
gfs-ent-ssd,GCP,"DD read, 10MB over 1000 files, 4 Parallel Ops",4.785
gfs-ent-ssd,GCP,"DD read, 10MB over 1000 files, 8 Parallel Ops",4.604
gfs-ent-ssd,GCP,"DD read, 10MB over 1000 files, 16 Parallel Ops",5.549
gfs-ent-ssd,GCP,"FST random reads, 100MB over 10*10MB reads",0.772
gfs-ent-ssd,GCP,"FST random reads, 100MB over 100*1MB reads",2.092
gfs-ent-ssd,GCP,"FST random reads, 100MB over 1000*100KB reads",3.352
gfs-ent-ssd,GCP,"FST random reads, 100MB over 10000*10KB reads",11.048
gfs-ent-ssd,GCP,Read 14 days of CRAN logs with fread,39.293
gfs-ent-ssd,GCP,Sample 5000 rows from each of 14 CRAN logs with vroom,18.469
